id,commune,province,region,latitude,longitude,osm_id
235,Atouabet,Safi,Marrakech-Safi,31.948442,-9.292693,2827798
236,Ayacha,Larache,Tanger-Tétouan-Al Hoceïma,35.385214,-5.834534,2563436
237,Ayir,Safi,Marrakech-Safi,32.604729,-9.087257,2827826
238,Azaghar N'Irs,Tata,Souss-Massa,30.187815,-8.171986,2888903
239,Azemmour,El Jadida,Casablanca-Settat,33.286865,-8.34826,2806100
240,Azghar,Sidi Slimane,Rabat-Salé-Kénitra,34.175562,-5.905287,2819625
241,Azgour,Al Haouz,Marrakech-Safi,31.122801,-8.352737,3534191
242,Aziar,Agadir-Ida Ou Tanane,Souss-Massa,30.785576,-9.574129,2814091
243,Azilal,Azilal,Béni Mellal-Khénifra,31.958355,-6.579075,2887338
244,Azla,Tétouan,Tanger-Tétouan-Al Hoceïma,35.529797,-5.283984,2480066
245,Aznaguen,Tata,Souss-Massa,30.323351,-7.443042,2887666
246,Azrar,Tata,Souss-Massa,30.213948,-8.030534,2888973
247,Azrou,Ifrane,Fès-Meknès,33.441332,-5.222665,2819460
248,Azzaba,Sefrou,Fès-Meknès,33.818908,-4.680753,2808820
249,Azzinate,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,35.632042,-5.782892,2752821
250,Aïn Attig,Skhirate-Témara,Rabat-Salé-Kénitra,33.884491,-6.965241,2498878
251,Aïn Aïcha,Taounate,Fès-Meknès,34.410025,-4.664287,2755026
252,Aïn Béida,Ouezzane,Tanger-Tétouan-Al Hoceïma,34.935357,-5.465212,2563394
253,Aïn Chouater,Errachidia,Drâa-Tafilalet,31.855665,-3.050445,2527829
254,Aïn Leuh,Ifrane,Fès-Meknès,33.26742,-5.31671,2819478
255,Aïn Orma,Meknès,Fès-Meknès,33.911173,-5.72924,2561337
256,Aïn Reggada,Berkane,Oriental,34.935981,-2.230102,2457841
257,Aïn Zohra,Driouch,Oriental,34.666743,-3.518382,2432167
258,Aït Abbas,Azilal,Béni Mellal-Khénifra,31.740033,-6.615391,2887318
259,Aït Bourzouine,El Hajeb,Fès-Meknès,33.639163,-5.492734,2819569
260,Aït Elfarsi,Tinghir,Drâa-Tafilalet,31.288809,-5.344127,2887548
261,Aït Hani,Tinghir,Drâa-Tafilalet,31.738368,-5.570171,2827209
262,Aït Ishaq,Khénifra,Béni Mellal-Khénifra,32.719227,-5.802793,2826613
263,Aït Kamra,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.149771,-4.004801,2440718
264,Aït Majden,Azilal,Béni Mellal-Khénifra,31.814463,-6.918951,2887266
265,Aït Seghrouchen,Sefrou,Fès-Meknès,33.978904,-4.489789,2810067
266,Aït Youssef Ou Ali,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,35.165957,-3.875172,2436238
267,Bab Berred,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.001005,-4.922007,2563409
268,Bab Boudir,Taza,Fès-Meknès,34.093473,-4.092583,2758638
269,Bab Marzouka,Taza,Fès-Meknès,34.199687,-4.07612,2758249
270,Bab Taza,Chefchaouen,Tanger-Tétouan-Al Hoceïma,35.097204,-5.23299,2563407
271,Bab Tiouka,Sidi Kacem,Rabat-Salé-Kénitra,34.214041,-5.620557,2813792
272,Bahhara Oulad Ayad,Larache,Tanger-Tétouan-Al Hoceïma,34.757752,-6.283455,2804267
