rang,Commune,Province,Region_std,n_cas,suggestion_referentiel,score_suggestion,cumsum_pct
1331,Bureau Ikaouen,Tinghir,Drâa-Tafilalet,1,Ikniouen,0.545,98.30183106910809
1332,ighmnigrane,Tinghir,Drâa-Tafilalet,1,Tinghir,0.556,98.31659775546368
1333,ighrmloune,Tinghir,Drâa-Tafilalet,1,Aghbalou N'Kerdous,0.5,98.33136444181926
1334,imghrane,Tinghir,Drâa-Tafilalet,1,Tinghir,0.533,98.34613112817483
1335,mirna,Tinghir,Drâa-Tafilalet,1,Imider,0.545,98.36089781453042
1336,moqrisat,Ouezzane,Tanger-Tétouan-Al Hoceïma,1,Brikcha,0.4,98.375664500886
1337,moujjou,Sefrou,Fès-Meknès,1,Ahermoumou,0.588,98.39043118724159
1338,A/Hmmou,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Izemmouren,0.471,98.40519787359716
1339,Abdellah Chefchaouni,Agadir-Ida Ou Tanane,Souss-Massa,1,Adaghas,0.37,98.41996455995275
1340,Abdellah Chefchaouni,Ouarzazate,Drâa-Tafilalet,1,Afella N'Dra,0.438,98.43473124630833
1341,Abdellah Chefchaouni,Tinghir,Drâa-Tafilalet,1,Ferkla El Oulia,0.4,98.44949793266392
1342,Ad Sayeh,Essaouira,Marrakech-Safi,1,Sidi Ahmed Essayeh,0.615,98.46426461901949
1343,jorf lmlha,Sidi Kacem,Rabat-Salé-Kénitra,1,Bir Taleb,0.316,98.47903130537507
1344,karia ba ahmd,Taounate,Fès-Meknès,1,Aïn Aïcha,0.455,98.49379799173066
1345,karia ba med,Taounate,Fès-Meknès,1,Ras El Oued,0.435,98.50856467808623
1346,kariat,Nador,Oriental,1,Arekmane,0.429,98.52333136444182
1347,kella,Tinghir,Drâa-Tafilalet,1,Toudgha El Oulia,0.381,98.5380980507974
1348,kolla,Larache,Tanger-Tétouan-Al Hoceïma,1,Souk Tolba,0.533,98.55286473715299
1349,igherme,Taroudant,Souss-Massa,1,Irherm,0.769,98.56763142350856
1350,Coelma,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Oued Laou,0.533,98.58239810986414
1351,oled mhala,Taroudant,Souss-Massa,1,Ouled Aissa,0.667,98.59716479621973
1352,omyache,Tinghir,Drâa-Tafilalet,1,Imilchil,0.4,98.61193148257532
1353,"A,Y,Ouali",Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Rouadi,0.533,98.62669816893089
1354,"A,taourirt",Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Arbaa Taourirt,0.75,98.64146485528647
1355,A. Hammou,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Aït Kamra,0.444,98.65623154164206
1356,A. Taorirt,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,1,Arbaa Taourirt,0.75,98.67099822799764
1357,A.D.C,Sidi Kacem,Rabat-Salé-Kénitra,1,Sidi Kacem,0.267,98.68576491435321
1358,lagnat,Béni Mellal,Béni Mellal-Khénifra,1,Oulad Gnaou,0.588,98.7005316007088
1359,laksir,El Hajeb,Fès-Meknès,1,Iqaddar,0.308,98.71529828706439
1360,lamzem,El Kelâa des Sraghna,Marrakech-Safi,1,Oulad Amer,0.5,98.73006497341997
1361,lbour,Tinghir,Drâa-Tafilalet,1,Outerbat,0.462,98.74483165977554
1362,lhart,Tinghir,Drâa-Tafilalet,1,Aït Elfarsi,0.375,98.75959834613113
1363,lharte,Tinghir,Drâa-Tafilalet,1,Aït Elfarsi,0.353,98.77436503248671
1364,marnissa,Taounate,Fès-Meknès,1,Tissa,0.615,98.7891317188423
1365,menzel,Sefrou,Fès-Meknès,1,El Menzel,0.8,98.80389840519787
1366,mezguitem,Taza,Fès-Meknès,1,El Gouzate,0.421,98.81866509155346
1367,qd ben aouda,Kénitra,Rabat-Salé-Kénitra,1,Ben Mansour,0.609,98.83343177790904
1368,rahouana,Nador,Oriental,1,Selouane,0.5,98.84819846426461
1369,rass lma,Nador,Oriental,1,Hassi Berkane,0.476,98.8629651506202
1370,regraga,Al Haouz,Marrakech-Safi,1,Agafay,0.462,98.87773183697578
1371,regragua,Essaouira,Marrakech-Safi,1,Sidi Aissa Regragui,0.519,98.89249852333137
1372,saghro,Tinghir,Drâa-Tafilalet,1,Tinghir,0.462,98.90726520968694
1373,sahel,Tiznit,Souss-Massa,1,Arbaa Sahel,0.625,98.92203189604253
1374,sais,Fès,Fès-Meknès,1,Ain Kansra,0.429,98.93679858239811
1375,sebte tafraoutene,Taroudant,Souss-Massa,1,Tafraouten,0.741,98.9515652687537
1376,municipalité nador,Nador,Oriental,1,Nador,0.435,98.96633195510927
1377,my abdelkader,Sidi Kacem,Rabat-Salé-Kénitra,1,Sidi Kacem,0.348,98.98109864146485
1378,my abdelkrim,Taounate,Fès-Meknès,1,Moulay Ahmed Cherif,0.516,98.99586532782044
1379,nakhla,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Azla,0.6,99.01063201417602
1380,o ghalem,Settat,Casablanca-Settat,1,Toualet,0.533,99.0253987005316
1381,oled bouaziri,Settat,Casablanca-Settat,1,Oulad Abbou,0.583,99.04016538688718
1382,oled bouchair,Settat,Casablanca-Settat,1,Oulad Abbou,0.583,99.05493207324277
1383,C boumalne,Tinghir,Drâa-Tafilalet,1,Boumalne Dadès,0.667,99.06969875959835
1384,Cab,Chtouka-Aït Baha,Souss-Massa,1,Tabia,0.5,99.08446544595392
1385,Chahid Baba,Sefrou,Fès-Meknès,1,Azzaba,0.471,99.09923213230951
1386,Chahid Baha Rfaif,Sefrou,Fès-Meknès,1,Ahl Sidi Lahcen,0.438,99.1139988186651
1387,Chahid baha,Sefrou,Fès-Meknès,1,Ahl Sidi Lahcen,0.538,99.12876550502067
1388,Charf Souani,Tanger-Assilah,Tanger-Tétouan-Al Hoceïma,1,Dar Chaoui,0.545,99.14353219137625
1389,Charrate,Taounate,Fès-Meknès,1,Zarkat,0.571,99.15829887773184
1390,"Chatre III,Ait Taoukte",Agadir-Ida Ou Tanane,Souss-Massa,1,Ida Ou Kazzou,0.286,99.17306556408742
1391,Chjahaid baha,Sefrou,Fès-Meknès,1,Ahl Sidi Lahcen,0.5,99.187832250443
1392,Chourfa,Fquih Ben Salah,Béni Mellal-Khénifra,1,Tachraft,0.533,99.20259893679858
1393,Chtouka Ait Baha,Chtouka-Aït Baha,Souss-Massa,1,Ait Baha,0.667,99.21736562315417
1394,Cite Scolaire,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Bni Said,0.476,99.23213230950975
1395,"A, Mediona A ,Medoina",Taounate,Fès-Meknès,1,Ain Mediouna,0.545,99.24689899586532
1396,oued Kasaba,Taounate,Fès-Meknès,1,Oued Jemaa,0.667,99.26166568222091
1397,oued fes,Fès,Fès-Meknès,1,Fès,0.545,99.2764323685765
1398,ouledamghar,Driouch,Oriental,1,Ourdana,0.556,99.29119905493208
1399,,Sefrou,Fès-Meknès,1,Tazouta,0.0,99.30596574128765
1400,sghanghan,Nador,Oriental,1,Zeghanghane,0.8,99.32073242764324
1401,sidi A Tadeli,Sefrou,Fès-Meknès,1,Ahl Sidi Lahcen,0.5,99.33549911399882
1402,sidi A Tadeli Lalal yaza,Sefrou,Fès-Meknès,1,Dar El Hamra,0.389,99.3502658003544
1403,sidi ahmed hamed,Essaouira,Marrakech-Safi,1,Sidi H'Mad Ou Hamed,0.743,99.36503248670998
1404,sidi ahmed tadli,Meknès,Fès-Meknès,1,Oued Jdida,0.308,99.37979917306556
1405,sidi kamel,Larache,Tanger-Tétouan-Al Hoceïma,1,Sidi Lyamani,0.636,99.39456585942115
1406,"sidi med b,lahcen",Taounate,Fès-Meknès,1,Sidi M'Hamed Ben Lahcen,0.8,99.40933254577672
1407,takkad,Chtouka-Aït Baha,Souss-Massa,1,Tabia,0.545,99.4240992321323
1408,tamlalte,Tinghir,Drâa-Tafilalet,1,Imilchil,0.375,99.43886591848789
1409,tanger ville,Tétouan,Tanger-Tétouan-Al Hoceïma,1,Martil,0.333,99.45363260484348
1410,taouima,Nador,Oriental,1,Al Aroui,0.533,99.46839929119905
1411,taoujtat,El Hajeb,Fès-Meknès,1,Agourai,0.533,99.48316597755463
1412,A.Gdah,Taounate,Fès-Meknès,1,Ain Legdah,0.625,99.49793266391022
1413,Béni assifan,Chefchaouen,Tanger-Tétouan-Al Hoceïma,1,Bni Selmane,0.609,99.5126993502658
1414,Béninsser,Nador,Oriental,1,Beni Ansar,0.737,99.52746603662138
1415,15 Gar,Taza,Fès-Meknès,1,Ras Laksar,0.375,99.54223272297696
1416,7Eme Bsi Melitaire,Taza,Fès-Meknès,1,Msila,0.435,99.55699940933255
1417,7eme BISI,Taza,Fès-Meknès,1,Msila,0.429,99.57176609568813
1418,A H yahya,Tinghir,Drâa-Tafilalet,1,Aït Hani,0.471,99.5865327820437
1419,A S J oulia,Tinghir,Drâa-Tafilalet,1,Ferkla El Oulia,0.615,99.60129946839929
1420,A S J soufla,Tinghir,Drâa-Tafilalet,1,Ferkla Es-Soufla,0.714,99.61606615475488
1421,,Fès,Fès-Meknès,1,Sidi Hrazem,0.0,99.63083284111046
1422,,Guercif,Oriental,1,Tissaf,0.0,99.64559952746603
1423,,Khénifra,Béni Mellal-Khénifra,1,Zaouiat Cheikh,0.0,99.66036621382162
1424,A s jbel,Tinghir,Drâa-Tafilalet,1,Ait Sedrate Jbel El Oulia,0.485,99.6751329001772
1425,tkhabecht,Driouch,Oriental,1,Tafersit,0.471,99.68989958653279
1426,z elbir,Tinghir,Drâa-Tafilalet,1,M'Semrir,0.533,99.70466627288836
1427,zayo,Nador,Oriental,1,Zaïo,0.75,99.71943295924395
1428,zegota,Sidi Kacem,Rabat-Salé-Kénitra,1,Zaggota,0.769,99.73419964559953
1429,zgangan,Nador,Oriental,1,Zeghanghane,0.778,99.7489663319551
1430,,Boulemane,Fès-Meknès,1,Talzemt,0.0,99.76373301831069
1431,Beni-Ounjel,Taounate,Fès-Meknès,1,Bni Oulid,0.7,99.77849970466627
1432,Bensergao,Azilal,Béni Mellal-Khénifra,1,Demnate,0.375,99.79326639102186
1433,tisli,Tinghir,Drâa-Tafilalet,1,Tilmi,0.8,99.80803307737743
1434,tizitounte,Chichaoua,Marrakech-Safi,1,Ain Tazitounte,0.75,99.82279976373302
1435,15Eme Gare,Taza,Fès-Meknès,1,El Gouzate,0.5,99.8375664500886
1436,tlat louta,Nador,Oriental,1,Bni Sidel Louta,0.56,99.85233313644419
1437,trik alwahda,Taza,Fès-Meknès,1,Tahla,0.471,99.86709982279976
1438,A S Jbel olia,Tinghir,Drâa-Tafilalet,1,Ait Sedrate Jbel El Oulia,0.684,99.88186650915534
1439,A S S charkia,Tinghir,Drâa-Tafilalet,1,Ait Sedrate Sahl Charkia,0.703,99.89663319551093
1440,A S Scharkia,Tinghir,Drâa-Tafilalet,1,Ait Sedrate Sahl Charkia,0.667,99.91139988186652
1441,A S gbel sofla,Tinghir,Drâa-Tafilalet,1,Ait Sedrate Jbel El Soufla,0.65,99.92616656822209
1442,A S jbel,Tinghir,Drâa-Tafilalet,1,Ait Sedrate Jbel El Oulia,0.485,99.94093325457767
1443,A S jbel olia,Tinghir,Drâa-Tafilalet,1,Ait Sedrate Jbel El Oulia,0.684,99.95569994093326
1444,A S jbel sofla,Tinghir,Drâa-Tafilalet,1,Ait Sedrate Jbel El Soufla,0.7,99.97046662728884
1445,,Chtouka-Aït Baha,Souss-Massa,1,Toumliline,0.0,99.98523331364441
1446,,El Kelâa des Sraghna,Marrakech-Safi,1,Znada,0.0,100.0
