region,annee,mois,cas_predits,ci_lower_95,ci_upper_95
Béni Mellal-Khénifra,2036,1,113.20805178907644,92.66421965634957,133.75188392180328
Béni Mellal-Khénifra,2036,2,115.30745919395062,94.5693183612379,136.04560002666335
Béni Mellal-Khénifra,2036,3,121.5401051303623,100.23192517550191,142.8482850852227
Béni Mellal-Khénifra,2036,4,118.24166127779506,97.23662906228466,139.24669349330546
Béni Mellal-Khénifra,2036,5,100.9994641570722,81.6345760787044,120.36435223544
Béni Mellal-Khénifra,2036,6,92.51839816429246,74.0258878654649,111.01090846312003
Béni Mellal-Khénifra,2036,7,82.18260454040079,64.80426098279297,99.56094809800861
Béni Mellal-Khénifra,2036,8,79.90494400548786,62.801857702942314,97.00803030803341
Béni Mellal-Khénifra,2036,9,91.50898738043915,73.15589536992435,109.86207939095395
Béni Mellal-Khénifra,2036,10,96.97352695007909,78.0518751076424,115.89517879251578
Béni Mellal-Khénifra,2036,11,109.15303049300948,88.98444403088635,129.3216169551326
Béni Mellal-Khénifra,2036,12,113.44283272645004,92.9048742654262,133.98079118747387
Béni Mellal-Khénifra,2037,1,112.84511596687778,92.33560944823178,133.35462248552378
Béni Mellal-Khénifra,2037,2,115.21104756064678,94.4822653069826,135.93982981431094
Béni Mellal-Khénifra,2037,3,120.99892967748428,99.7399666886528,142.25789266631577
Béni Mellal-Khénifra,2037,4,117.81392802289835,96.8481811893583,138.77967485643842
Béni Mellal-Khénifra,2037,5,100.74524402902505,81.40556911656454,120.08491894148555
Béni Mellal-Khénifra,2037,6,92.39182627177338,73.91249329038214,110.87115925316462
Béni Mellal-Khénifra,2037,7,81.51339274510113,64.20685983381134,98.81992565639092
Béni Mellal-Khénifra,2037,8,78.69401790095581,61.724666391309015,95.66336941060261
Béni Mellal-Khénifra,2037,9,90.80759445097839,72.52247988323485,109.09270901872192
Béni Mellal-Khénifra,2037,10,97.3092449313578,78.3500379138882,116.26845194882739
Béni Mellal-Khénifra,2037,11,109.58792248345786,89.37851524930232,129.7973297176134
Béni Mellal-Khénifra,2037,12,113.16878927930736,92.65483774111102,133.6827408175037
Béni Mellal-Khénifra,2038,1,112.87305413364349,92.36040550595526,133.38570276133171
Béni Mellal-Khénifra,2038,2,115.37400010070535,94.6289923029236,136.11900789848707
Béni Mellal-Khénifra,2038,3,121.09563961113307,99.82759244613456,142.36368677613157
Béni Mellal-Khénifra,2038,4,117.58861329664697,96.64333605038475,138.53389054290918
Béni Mellal-Khénifra,2038,5,100.2261990214857,80.93858482811157,119.51381321485982
Béni Mellal-Khénifra,2038,6,92.32410843739586,73.8518253058198,110.79639156897193
Béni Mellal-Khénifra,2038,7,82.18701227509726,64.80936402278861,99.5646605274059
