rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
194,boumardoul,Tinghir,2,Bou Azmou,0.632,Bouarouss,0.737,Taounate,35.4001441961067,
195,bouchair,Settat,2,Oulad Sghir,0.526,Bouqachmir,0.778,Khemisset,35.544340302811825,
196,bni enssar,Nador,2,Beni Ansar,0.8,Beni Ansar,0.8,Nador,35.68853640951694,
197,Ait Sawane,Ouarzazate,2,Ait Zineb,0.632,Ait Naamane,0.762,El Hajeb,35.83273251622206,
198,akdim ait mraou,Tinghir,2,Ait Youl,0.522,Sebt Aït Rahou,0.621,Khemisset,35.97692862292718,
199,akdim,Tinghir,2,Ouaklim,0.667,Aklim,0.8,Berkane,36.1211247296323,
200,ait wahi,Tinghir,2,Aït Hani,0.75,Ait Said,0.75,Essaouira,36.265320836337416,
201,ait ouffi,Tinghir,2,Ait Youl,0.706,Ait Ourir,0.778,Marrakech,36.40951694304254,
202,ait kassi,Tinghir,2,Ait Ouassif,0.8,Ait Ouassif,0.8,Tinghir,36.55371304974766,
203,ait harouit,Tinghir,2,Aït Hani,0.737,Ait Hammou,0.762,Rehamna,36.69790915645277,
204,Meknassa,Taza,2,Meknassa Acharqia,0.64,Massa,0.769,Tiznit,36.8421052631579,
205,Meghasseine,Meknès,2,Mrhassiyine,0.727,Mrhassiyine,0.727,Meknès,36.986301369863014,
206,Medina,El Kelâa des Sraghna,2,Hiadna,0.5,Médiouna,0.857,Nouaceur,37.13049747656813,
207,Mazrawa,Taounate,2,Mezraoua,0.667,Smara,0.667,Es-Semara,37.274693583273255,
208,senhaja,Sefrou,2,Dar El Hamra,0.421,Senada,0.769,Al Hoceïma,37.41888968997837,
209,saiss,Fès,2,Ain Kansra,0.4,Assaisse,0.769,Ouarzazate,37.56308579668349,
210,ouarchdik,Tinghir,2,Ouaklim,0.5,Rouached,0.706,Fquih Ben Salah,37.70728190338861,
211,old taher,Taounate,2,Oulad Daoud,0.5,Oulad Amer,0.737,El Kelâa des Sraghna,37.85147801009373,
212,mezguitem,Guercif,2,Mazguitam,0.778,Mezguita,0.824,Ouarzazate,37.995674116798845,
213,merna,Tinghir,2,Imider,0.545,Merija,0.727,Jerada,38.13987022350396,
214,mecheraa laine,Taroudant,2,Machraa El Ain,0.786,Machraa El Ain,0.786,Taroudant,38.284066330209086,
215,magaz kelaa,Tinghir,2,Aït Elfarsi,0.455,Melaab,0.588,Errachidia,38.4282624369142,
216,khmiss dadaes,Tinghir,2,Souk Lakhmis Dades,0.71,Souk Lakhmis Dades,0.71,Tinghir,38.57245854361932,
217,"k,militaire",Taza,2,Msila,0.5,Mzilate,0.556,Chichaoua,38.71665465032444,
218,Aait adel,Al Haouz,2,Sti Fadma,0.444,Ait Aadel,0.889,El Kelâa des Sraghna,38.86085075702956,
219,ighramloulne,Tinghir,2,Aghbalou N'Kerdous,0.533,Ighzrane,0.7,Taza,39.00504686373468,
220,ighramloule,Tinghir,2,Toudgha El Oulia,0.519,Ighzrane,0.632,Taza,39.1492429704398,
221,igheram amazdar,Tinghir,2,Ait Sedrate Sahl Charkia,0.41,M'Saada,0.545,Sidi Slimane,39.29343907714492,
222,Marjane,Meknès,2,Majjate,0.714,Zemrane,0.714,El Kelâa des Sraghna,39.437635183850034,
223,Marinienne,Fès,2,Ain Bida,0.444,Mallalienne,0.667,Tétouan,39.58183129055516,
224,Marigha,Al Haouz,2,Amghras,0.571,Mtarnagha,0.75,Sefrou,39.726027397260275,
225,Marenienne,Fès,2,Louadaine,0.421,Mallalienne,0.667,Tétouan,39.87022350396539,
226,M.Bmellal,Béni Mellal,2,Beni Mellal,0.7,Beni Mellal,0.7,Béni Mellal,40.014419610670515,
227,M'kanssa,Taounate,2,Kissane,0.533,Mkansa,0.857,Sidi Kacem,40.15861571737563,
228,Boukourra,Ouezzane,2,Kalaat Booqorra,0.5,Bouskoura,0.889,Nouaceur,40.30281182408075,
229,Boukorra,Ouezzane,2,Kalaat Booqorra,0.522,Bouskoura,0.824,Nouaceur,40.447007930785865,
230,Boukora,Ouezzane,2,Bni Oual,0.533,Bouskoura,0.875,Nouaceur,40.59120403749099,
