rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
60,Boutaghrar,Tinghir,Drâa-Tafilalet,19,Outerbat,0.444,Boughriba,0.737,Berkane,52.732919254658384,
61,Bouzemlane,Taza,Fès-Meknès,19,Bouyablane,0.7,Boulemane,0.842,Boulemane,53.02795031055901,
62,Tassouit,Tinghir,Drâa-Tafilalet,18,Assoul,0.714,Tassousfi,0.824,Tata,53.307453416149066,
63,Skour,Boulemane,Fès-Meknès,18,Missour,0.667,Meskoura,0.769,Khouribga,53.58695652173913,
64,"S,fadma",Al Haouz,Marrakech-Safi,18,Sti Fadma,0.75,Sti Fadma,0.75,Al Haouz,53.86645962732919,
65,Zegotta,Sidi Kacem,Rabat-Salé-Kénitra,18,Zaggota,0.714,Zaggota,0.714,Sidi Kacem,54.14596273291925,
66,Ait tazarine,Tinghir,Drâa-Tafilalet,17,Aït Elfarsi,0.609,Tazarine,0.8,Taza,54.409937888198755,
67,Bab mrouj,Taza,Fès-Meknès,17,Bab Marzouka,0.762,Bab Marzouka,0.762,Taza,54.67391304347826,
68,""" """,Taounate,Fès-Meknès,17,M'tioua,0.2,N'Kob,0.25,Tinghir,54.93788819875776,
69,Tassouite,Tinghir,Drâa-Tafilalet,17,Assoul,0.667,Tassousfi,0.778,Tata,55.201863354037265,
70,Chahid Baha,Sefrou,Fès-Meknès,17,Ahl Sidi Lahcen,0.538,Ait Baha,0.737,Chtouka-Aït Baha,55.46583850931677,
71,Taguela,Azilal,Béni Mellal-Khénifra,16,Ait Taguella,0.737,Ait Taguella,0.737,Azilal,55.714285714285715,
72,Hanchene,Essaouira,Marrakech-Safi,16,El Hanchane,0.737,El Hanchane,0.737,Essaouira,55.962732919254655,
73,Bni Kolla,Sidi Kacem,Rabat-Salé-Kénitra,15,Bir Taleb,0.444,Bni Quolla,0.842,Ouezzane,56.19565217391305,
74,Tislit,Azilal,Béni Mellal-Khénifra,15,Tisqi,0.727,Tiglit,0.833,Guelmim,56.42857142857143,
75,Khenichate,Sidi Kacem,Rabat-Salé-Kénitra,15,Khnichet,0.778,Khnichet,0.778,Sidi Kacem,56.661490683229815,
76,sarghine,Tinghir,Drâa-Tafilalet,15,Tinghir,0.4,Serghina,0.75,Boulemane,56.8944099378882,
77,chafarni,Taroudant,Souss-Massa,15,Lakhnafif,0.471,Ifarni,0.714,Driouch,57.12732919254658,
78,Bani Saden,Sefrou,Fès-Meknès,15,Aït Seghrouchen,0.48,Bni Said,0.778,Tétouan,57.36024844720497,
79,Fariata,Béni Mellal,Béni Mellal-Khénifra,14,Had Bradia,0.471,Fraita,0.769,El Kelâa des Sraghna,57.577639751552795,
80,"S,A,B,B",Azilal,Béni Mellal-Khénifra,14,Aït Abbas,0.125,Sabbah,0.615,Skhirate-Témara,57.79503105590062,
81,Foum Anser,Béni Mellal,Béni Mellal-Khénifra,13,Foum El Anceur,0.75,Foum El Anceur,0.75,Béni Mellal,57.99689440993789,
