rang,Commune,Province,Region_std,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,CONFIRME_MANQUANT_REFERENTIEL,DECISION_HUMAINE
136,M.B.Mellal,Béni Mellal,Béni Mellal-Khénifra,6,Beni Mellal,0.667,Beni Mellal,0.667,Béni Mellal,59.151414309484196,False,
137,Municipalité,Tétouan,Tanger-Tétouan-Al Hoceïma,6,Mallalienne,0.435,Mzilate,0.526,Chichaoua,59.27620632279534,False,
138,O Akalay,Agadir-Ida Ou Tanane,Souss-Massa,6,Adaghas,0.4,Saadla,0.571,Safi,59.40099833610649,False,
139,Ras Alma,Moulay Yacoub,Fès-Meknès,6,Moulay Abdelkrim,0.417,Ras El Ma,0.824,Berkane,59.52579034941764,False,
140,Boutaghrar,Fquih Ben Salah,Béni Mellal-Khénifra,6,Tachraft,0.556,Boughriba,0.737,Berkane,59.650582362728784,False,
141,"Bouzemlane,c",Taza,Fès-Meknès,6,Bouyablane,0.636,Boulemane,0.762,Boulemane,59.775374376039935,False,
142,Ghorm El Alem,Béni Mellal,Béni Mellal-Khénifra,6,Foum El Anceur,0.593,Laghoualem,0.609,Benslimane,59.90016638935108,False,
143,Ghar Nhal,Béni Mellal,Béni Mellal-Khénifra,6,Had Bradia,0.421,Hjar Ennhal,0.8,Tanger-Assilah,60.02495840266223,False,
144,Al wahda,Taza,Fès-Meknès,6,Outat El Haj,0.4,Lahdar,0.714,Youssoufia,60.14975041597338,False,
145,Ajdir,Taza,Fès-Meknès,6,Bab Boudir,0.533,Ajdir 2,0.833,Al Hoceïma,60.27454242928452,False,
146,Bouazayer,Azilal,Béni Mellal-Khénifra,6,Taounza,0.5,Ouazzane,0.706,Ouezzane,60.39933444259567,False,
147,Bin jradi,Taza,Fès-Meknès,6,Bab Boudir,0.421,Bir Jdid,0.706,Nouaceur,60.524126455906824,False,
148,B.bouayach,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,6,Bni Bouayach,0.818,Bni Bouayach,0.818,Al Hoceïma,60.64891846921797,False,
149,B.Bouayach,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,6,Bni Bouayach,0.818,Bni Bouayach,0.818,Al Hoceïma,60.77371048252912,False,
150,B.Mellal,Béni Mellal,Béni Mellal-Khénifra,6,Beni Mellal,0.737,Beni Mellal,0.737,Béni Mellal,60.89850249584027,False,
151,,Azilal,Béni Mellal-Khénifra,6,Zaouiat Ahansal,0.0,,0.0,,61.02329450915141,False,
152,B.E.O,Azilal,Béni Mellal-Khénifra,5,Bin El Ouidane,0.316,Bzou,0.444,El Kelâa des Sraghna,61.12728785357737,False,
153,Rhouazi,Taounate,Fès-Meknès,5,Rghioua,0.714,Ghouazi,0.857,Moulay Yacoub,61.23128119800333,False,
154,Al quods,Taza,Fès-Meknès,5,Bab Boudir,0.444,Al Oued,0.667,Chefchaouen,61.33527454242928,False,
155,Dhar,Essaouira,Marrakech-Safi,5,Had Dra,0.545,Adar,0.75,Tata,61.43926788685524,False,
156,Farkhana,Nador,Oriental,5,Arekmane,0.625,Argana,0.714,Taroudant,61.5432612312812,False,
157,Kelaa,El Kelâa des Sraghna,Marrakech-Safi,5,El Aamria,0.571,Melaab,0.727,Errachidia,61.64725457570715,False,
158,A.Medouna,Taounate,Fès-Meknès,5,Ain Mediouna,0.762,Médiouna,0.824,Nouaceur,61.75124792013311,False,
159,Al ouhda,Taza,Fès-Meknès,5,El Gouzate,0.556,Al Oued,0.8,Chefchaouen,61.85524126455907,False,
160,Ait Atab,Azilal,Béni Mellal-Khénifra,5,Aït Abbas,0.706,Ait Taleb,0.824,Rehamna,61.95923460898503,False,
161,A.Taourirt,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,5,Arbaa Taourirt,0.75,Taourirt,0.889,Taourirt,62.06322795341098,False,
162,"A,Maatouf",Taounate,Fès-Meknès,5,Ain Maatouf,0.8,Ain Maatouf,0.8,Taounate,62.16722129783694,False,
163,ait brahim,Tinghir,Drâa-Tafilalet,5,Aït Hani,0.667,Ait Baha,0.778,Chtouka-Aït Baha,62.2712146422629,False,
164,Menara,Chichaoua,Marrakech-Safi,5,Majjat,0.5,Mnasra,0.833,Kénitra,62.37520798668885,False,
165,c boumalne,Tinghir,Drâa-Tafilalet,5,Boumalne Dadès,0.667,Boulemane,0.737,Boulemane,62.47920133111481,False,
166,A.Y.Ouali,Al Hoceïma,Tanger-Tétouan-Al Hoceïma,5,Rouadi,0.533,Oualili,0.625,Meknès,62.58319467554077,False,
167,tighrmatine,Tinghir,Drâa-Tafilalet,5,Tilmi,0.5,Ighzrane,0.737,Taza,62.68718801996672,False,
168,Bssabssa,Taounate,Fès-Meknès,5,Messassa,0.75,Messassa,0.75,Taounate,62.79118136439268,False,
169,Beni Garfat,Larache,Tanger-Tétouan-Al Hoceïma,5,Bni Garfett,0.818,Bni Garfett,0.818,Larache,62.89517470881864,False,
170,Taouima,Nador,Oriental,5,Al Aroui,0.533,Touama,0.769,Marrakech,62.999168053244595,False,
171,Kabdani,Driouch,Oriental,5,Dar El Kebdani,0.571,Tabant,0.615,Azilal,63.10316139767055,False,
172,Bibane,Taounate,Fès-Meknès,5,El Bibane,0.8,El Bibane,0.8,Taounate,63.207154742096506,False,
173,Oulad Harti,Larache,Tanger-Tétouan-Al Hoceïma,5,Oulad Ouchih,0.696,Oulad Chrif,0.818,Taza,63.311148086522465,False,
174,Taghgigt,Guelmim,Guelmim-Oued Noun,5,Tiglit,0.571,Taghzirt,0.75,Béni Mellal,63.41514143094842,False,
175,H K,Sidi Kacem,Rabat-Salé-Kénitra,5,Sidi Kacem,0.308,N'Kob,0.5,Tinghir,63.519134775374376,False,
176,sekoura,Sefrou,Fès-Meknès,5,Sefrou,0.615,Meskoura,0.8,Khouribga,63.623128119800334,False,
177,Bouzmlane,Taza,Fès-Meknès,5,Bouyablane,0.737,Boulemane,0.778,Boulemane,63.727121464226286,False,
178,Ait Tazarin,Tinghir,Drâa-Tafilalet,5,Aït Elfarsi,0.636,Tazarine,0.737,Taza,63.831114808652245,False,
179,kansara,Moulay Yacoub,Fès-Meknès,5,Laajajra,0.533,Mkansa,0.769,Sidi Kacem,63.935108153078204,False,
180,Ait Hamou Ousaid,Tinghir,Drâa-Tafilalet,4,Ait Ouassif,0.593,Ait Haddou Youssef,0.706,Taroudant,64.01830282861897,False,
181,15 Eme Gare,Taza,Fès-Meknès,4,El Gouzate,0.476,Oulad El Garne,0.56,El Kelâa des Sraghna,64.10149750415974,False,
182,Binlwidane,Azilal,Béni Mellal-Khénifra,4,Bin El Ouidane,0.75,Bin El Ouidane,0.75,Azilal,64.1846921797005,False,
183,Ait Hamd,Tinghir,Drâa-Tafilalet,4,Aït Hani,0.75,Ait Hadi,0.875,Chichaoua,64.26788685524126,False,
184,Rk,Guercif,Oriental,4,Saka,0.333,Zarkat,0.5,Taounate,64.35108153078203,False,
185,Ras lma,Moulay Yacoub,Fès-Meknès,4,Sidi El Abed,0.105,Ras El Ma,0.875,Berkane,64.43427620632279,False,
186,"S,Redouane",Ouezzane,Tanger-Tétouan-Al Hoceïma,4,Sidi Redouane,0.783,Sidi Redouane,0.783,Ouezzane,64.51747088186356,False,
187,Babmrouj,Taza,Fès-Meknès,4,Bab Marzouka,0.7,Bab Marzouka,0.7,Taza,64.60066555740433,False,
188,Sarghin,Tinghir,Drâa-Tafilalet,4,Tinghir,0.429,Serghina,0.8,Boulemane,64.6838602329451,False,
189,Agoudid,Azilal,Béni Mellal-Khénifra,4,Agoudi N'Lkhair,0.545,Agoudim,0.857,Midelt,64.76705490848586,False,
190,Skoura,Taounate,Fès-Meknès,4,Ourtzagh,0.571,Meskoura,0.857,Khouribga,64.85024958402663,False,
191,Ait h said,Tinghir,Drâa-Tafilalet,4,Aït Hani,0.778,Ait Said,0.889,Essaouira,64.93344425956738,False,
192,Skhinate,Fès,Fès-Meknès,4,Sidi Hrazem,0.421,Skhirate,0.875,Skhirate-Témara,65.01663893510815,False,
193,Syba,Al Haouz,Marrakech-Safi,4,Sidi Badhaj,0.4,Sbouya,0.6,Sidi Ifni,65.09983361064891,False,
194,Takerkoust,Al Haouz,Marrakech-Safi,4,Lalla Takarkoust,0.692,Tamegroute,0.7,Zagora,65.18302828618968,False,
