province,region,annee,mois,cas_predits,ci_lower_95,ci_upper_95
Agadir-Ida Ou Tanane,Souss-Massa,2045,1,0.3123476333150822,0.0,0.8979505973759435
Agadir-Ida Ou Tanane,Souss-Massa,2045,2,0.30990595635712487,0.0,0.8930643876564999
Agadir-Ida Ou Tanane,Souss-Massa,2045,3,0.31232283863215726,0.0,0.8979010367086688
Agadir-Ida Ou Tanane,Souss-Massa,2045,4,0.32244834559352686,0.0,0.9180812322875377
Agadir-Ida Ou Tanane,Souss-Massa,2045,5,0.3175761382824264,0.0,0.9083892316212443
Agadir-Ida Ou Tanane,Souss-Massa,2045,6,0.31493128424233163,0.0,0.9031112346085577
Agadir-Ida Ou Tanane,Souss-Massa,2045,7,0.3157570066492553,0.0,0.904763477101843
Agadir-Ida Ou Tanane,Souss-Massa,2045,8,0.31316373545355486,0.0,0.8995824181884156
Agadir-Ida Ou Tanane,Souss-Massa,2045,9,0.31526010615899547,0.0,0.9037675658443487
Agadir-Ida Ou Tanane,Souss-Massa,2045,10,0.3179495650418457,0.0,0.9091350960968667
Agadir-Ida Ou Tanane,Souss-Massa,2045,11,0.3115005505389897,0.0,0.8962560620521192
Agadir-Ida Ou Tanane,Souss-Massa,2045,12,0.31435689031847464,0.0,0.9019658185117327
Al Haouz,Marrakech-Safi,2025,1,7.518219846487493,2.8060026249310654,12.23043706804392
Al Haouz,Marrakech-Safi,2025,2,8.264151046133218,3.2387348271930207,13.289567265073416
Al Haouz,Marrakech-Safi,2025,3,9.000845010104552,3.667311104856587,14.334378915352517
Al Haouz,Marrakech-Safi,2025,4,8.700282873782571,3.4873815488674813,13.91318419869766
Al Haouz,Marrakech-Safi,2025,5,7.955568704370622,3.0061044245817294,12.905032984159515
Al Haouz,Marrakech-Safi,2025,6,7.327208597171627,2.788759204411903,11.865657989931352
Al Haouz,Marrakech-Safi,2025,7,6.304819310142536,2.263620501992847,10.346018118292225
Al Haouz,Marrakech-Safi,2025,8,6.21582637472715,2.200396009404071,10.231256740050227
Al Haouz,Marrakech-Safi,2025,9,5.896790980479515,1.9779455237806407,9.815636437178389
Al Haouz,Marrakech-Safi,2025,10,6.177562131068697,2.0396304658106015,10.315493796326793
Al Haouz,Marrakech-Safi,2025,11,6.068435004920786,1.9062151433064134,10.230654866535158
Al Haouz,Marrakech-Safi,2025,12,6.855985792011821,2.523000405480734,11.188971178542907
Al Haouz,Marrakech-Safi,2026,1,7.049681075285689,2.5618958109614463,11.537466339609932
Al Haouz,Marrakech-Safi,2026,2,7.428213154365756,2.7228447598534267,12.133581548878086
Al Haouz,Marrakech-Safi,2026,3,8.115379347364978,3.114262911917624,13.116495782812333
Al Haouz,Marrakech-Safi,2026,4,7.954035492782681,3.021074385471233,12.886996600094129
Al Haouz,Marrakech-Safi,2026,5,7.5159537047390215,2.7335300898154014,12.298377319662642
Al Haouz,Marrakech-Safi,2026,6,7.164390090265835,2.689051524679183,11.639728655852487
Al Haouz,Marrakech-Safi,2026,7,6.258481491637762,2.1873487144897776,10.329614268785747
Al Haouz,Marrakech-Safi,2026,8,6.03579408673433,2.0961469084962454,9.975441264972414
Al Haouz,Marrakech-Safi,2026,9,5.710079602878244,1.8443754162334858,9.575783789523001
