commune_id,commune,province,region,latitude,longitude,temp_mean,precip_annual
61,Ain Harrouda,Médiouna,Casablanca-Settat,33.644338,-7.458642,18.30871794871795,360.99615384615385
62,Ain Jemaa,Sidi Kacem,Rabat-Salé-Kénitra,34.07863,-5.784557,18.47551282051282,509.91461538461544
63,Ain Johra-Sidi Boukhalkhal,Kénitra,Rabat-Salé-Kénitra,34.014906,-6.401752,17.905384615384612,512.853076923077
64,Ain Kaicher,Fquih Ben Salah,Béni Mellal-Khénifra,32.768318,-6.546089,18.924679487179485,419.3415384615384
65,Ain Kansra,Fès,Fès-Meknès,34.112982,-4.845056,19.031538461538464,522.7538461538462
66,Ain Karma-Oued Rommane,Sidi Kacem,Rabat-Salé-Kénitra,34.068824,-5.683235,18.438333333333333,528.1784615384615
67,Ain Lahcen,Tétouan,Tanger-Tétouan-Al Hoceïma,35.561202,-5.5741,17.043846153846154,724.0284615384614
68,Ain Legdah,Taounate,Fès-Meknès,34.170882,-4.566414,18.95275641025641,595.1299999999999
69,Ain Lehjer,Jerada,Oriental,34.498035,-2.477501,17.178974358974358,361.5400000000001
70,Ain Maatouf,Taounate,Fès-Meknès,34.420324,-4.528995,18.54423076923077,732.5292307692307
71,Ain Mediouna,Taounate,Fès-Meknès,34.485574,-4.530098,17.936602564102564,731.1453846153846
72,Ain Sbit,Khemisset,Rabat-Salé-Kénitra,33.490878,-6.475539,17.29346153846154,435.94230769230774
73,Ain Sfa,Oujda-Angad,Oriental,34.763878,-2.13665,16.160897435897436,384.3469230769231
74,Ain Taoujdate,Moulay Yacoub,Fès-Meknès,33.937485,-5.209984,17.758333333333333,561.5753846153846
75,Ain Tazitounte,Chichaoua,Marrakech-Safi,31.108445,-8.882665,15.068717948717948,419.4253846153846
76,Ain Timguenai,Sefrou,Fès-Meknès,33.87166,-4.486947,16.114871794871796,698.0215384615385
77,Ain Tizgha,Benslimane,Casablanca-Settat,33.652277,-7.103308,17.906346153846155,422.75153846153853
78,Ait Aadel,El Kelâa des Sraghna,Marrakech-Safi,31.597512,-7.223717,14.569038461538462,641.0846153846153
79,Ait Abdellah,Chtouka-Aït Baha,Souss-Massa,29.822342,-8.736585,16.209038461538462,232.6376923076923
80,Ait Aissi Ihahane,Agadir-Ida Ou Tanane,Souss-Massa,30.906864,-9.424827,18.920128205128204,377.5969230769231
81,Ait Ali Ou Lahcen,Kénitra,Rabat-Salé-Kénitra,34.030611,-6.494866,18.065705128205128,499.40307692307687
82,Ait Amira,Inezgane-Aït Melloul,Souss-Massa,30.154039,-9.466072,19.206602564102564,236.6961538461539
83,Ait Ammar,Khouribga,Béni Mellal-Khénifra,33.038244,-6.63836,17.252564102564104,487.09769230769234
