rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
207,Jnan ward,Fès,3,Ain Kansra,0.421,Ain Harrouda,0.571,Médiouna,51.76558978211871,
208,Tibihite,Béni Mellal,3,Tilougguite,0.526,Tighirt,0.667,Tiznit,51.87828700225394,
209,Oued Laabid,Azilal,3,Agoudi N'Lkhair,0.538,Oued Naam,0.7,Errachidia,51.99098422238918,
210,Tighboula,Béni Mellal,3,Timoulilt,0.556,Tigouga,0.75,Taroudant,52.10368144252442,
211,"Ol,DAOUD",Taounate,3,Oulad Daoud,0.737,Oulad Daoud,0.737,Taounate,52.21637866265966,
212,Taddert,Guercif,3,Tissaf,0.308,Taddart,0.857,Taza,52.32907588279489,
213,Barraca,Nador,3,Bouarg,0.462,Brachoua,0.667,Skhirate-Témara,52.44177310293013,
214,Ben cheikh,Al Haouz,3,Ouneine,0.353,Beni Chiker,0.762,Nador,52.55447032306537,
215,Beni Gorfat,Larache,3,Bni Garfett,0.727,Bni Garfett,0.727,Larache,52.6671675432006,
216,Tassouite,Ouarzazate,3,Tansifte,0.706,Tassousfi,0.778,Tata,52.77986476333584,
217,Bab M'rouj,Taza,3,Bab Marzouka,0.727,Bab Marzouka,0.727,Taza,52.892561983471076,
218,Oulad L'Harti,Larache,3,Oulad Ouchih,0.64,Oulad Chrif,0.75,Taza,53.00525920360631,
219,Ouizghet,Taounate,3,Ourtzagh,0.625,Ouizeght,0.875,Midelt,53.117956423741546,
220,Od Youssef,Settat,3,Guisser,0.471,Ouled Youssef,0.87,Fquih Ben Salah,53.230653643876785,
221,As jbel olia,Tinghir,3,Ferkla El Oulia,0.667,Ras El Ma,0.667,Berkane,53.343350864012024,
222,My Idriss,Meknès,3,Moulay Idriss Zarhoun,0.6,Moulay Idriss Zarhoun,0.6,Meknès,53.456048084147255,
223,Rquen,Tinghir,3,Ikniouen,0.462,Tafraouten,0.533,Taroudant,53.568745304282494,
224,Sidi Ahmed Bouheddane,Ouezzane,3,Sidi Redouane,0.706,Sidi Ahmed Ou Amar,0.718,Taroudant,53.68144252441773,
225,Sidi ahmed tadli,Sefrou,3,Sidi Youssef Ben Ahmed,0.526,Sidi Ahmed El Khadir,0.778,El Kelâa des Sraghna,53.794139744552965,
226,R'Ghiwa,Taounate,3,Rghioua,0.714,Rghioua,0.714,Taounate,53.9068369646882,
227,Slilou,Tinghir,3,Assoul,0.5,Smimou,0.667,Essaouira,54.01953418482344,
228,Senhaja,Sefrou,3,Dar El Hamra,0.421,Senada,0.769,Al Hoceïma,54.13223140495868,
229,Sekoura,Sefrou,3,Sefrou,0.615,Meskoura,0.8,Khouribga,54.24492862509391,
230,Bit goulem,Taza,3,Bni Lent,0.556,Sebt Gzoula,0.667,Safi,54.35762584522915,
231,Sidi A Tadeli,Sefrou,3,Ahl Sidi Lahcen,0.5,Sidi Al Kamel,0.769,Sidi Slimane,54.47032306536439,
232,Safsaf,Sidi Kacem,3,Selfat,0.333,Sefsaf,0.833,Sidi Slimane,54.58302028549962,
233,S/R,Ouezzane,3,Sidi Bousber,0.4,Smara,0.5,Es-Semara,54.69571750563486,
234,Sais,Fès,3,Ain Kansra,0.429,Assais,0.8,Taroudant,54.8084147257701,
235,Bouargane,Agadir-Ida Ou Tanane,3,Imsouane,0.588,Ouirgane,0.824,Al Haouz,54.92111194590534,
236,wardana,Driouch,3,Ourdana,0.714,Argana,0.769,Taroudant,55.03380916604057,
237,Bouazier,Azilal,3,Bin El Ouidane,0.455,Bouarg,0.714,Nador,55.14650638617581,
238,Si a ben brahim,Azilal,3,Aït Abbas,0.5,Si Hsaien Ben Abderrahmane,0.683,El Jadida,55.25920360631105,
239,Hay mohamadi,Agadir-Ida Ou Tanane,3,Agadir,0.444,Mohammédia,0.636,Mohammedia,55.37190082644628,
240,A h said,Tinghir,3,Ferkla Es-Soufla,0.417,Ait Said,0.75,Essaouira,55.48459804658152,
241,Hdr,Guercif,3,Debdou,0.222,Lahdar,0.667,Youssoufia,55.597295266716756,
242,Hay Mohamadi,Agadir-Ida Ou Tanane,3,Agadir,0.444,Mohammédia,0.636,Mohammedia,55.70999248685199,
