rang,Commune_origine,Commune,Province,n_cas,DECISION_HUMAINE,niveau_resolution,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct
485,Boujarrah,Tétouan,Tétouan,1,Tétouan,province,Bni Karrich,0.5,Bouarfa,0.75,Figuig,61.5717375630858
486,Bouigra,Chtouka-Aït Baha,Chtouka-Aït Baha,1,Chtouka-Aït Baha,province,Tizoughrane,0.556,Biougra,0.857,Inezgane-Aït Melloul,61.64383561643836
487,Bouhamza,Azilal,Azilal,1,Azilal,province,Taounza,0.533,Bouhmame,0.75,Sidi Bennour,61.715933669790914
488,M'Hannech,Tétouan,Tétouan,1,Tétouan,province,Mallalienne,0.5,M'Hajer,0.625,Driouch,61.78803172314348
489,M bekay,Sefrou,Sefrou,1,Sefrou,province,Imouzzer Kandar,0.364,M'Haya,0.615,Moulay Yacoub,61.86012977649604
490,M Bakay,Sefrou,Sefrou,1,Sefrou,province,Matmata,0.429,M'Haya,0.615,Moulay Yacoub,61.93222782984859
491,Marjane,Boulemane,Boulemane,1,Boulemane,province,Boulemane,0.5,Zemrane,0.714,El Kelâa des Sraghna,62.00432588320116
492,Marenniene,Fès,Fès,1,Fès,province,Louadaine,0.421,Bni Marghnine,0.609,Driouch,62.07642393655372
493,Mallaha centre,Settat,Settat,1,Settat,province,Machraa Ben Abbou,0.452,Mallalienne,0.64,Tétouan,62.14852198990627
494,Mallaha,Settat,Settat,1,Settat,province,Lahouaza,0.533,Tamallalt,0.625,El Kelâa des Sraghna,62.22062004325883
495,Malhart,Settat,Settat,1,Settat,province,Mniaa,0.5,Al Hamra,0.667,Chefchaouen,62.29271809661139
496,Maksouline,Al Hoceïma,Al Hoceïma,1,Al Hoceïma,province,Tifarouine,0.6,Bni Gmil Maksouline,0.69,Taounate,62.36481614996395
497,Maimouna,Kénitra,Kénitra,1,Kénitra,province,Ait Malek,0.235,Médiouna,0.75,Nouaceur,62.43691420331651
498,Mahrek Melak,Settat,Settat,1,Settat,province,Ain Blal,0.4,Machraa El Ain,0.615,Taroudant,62.50901225666907
499,Machouar,Tinghir,Tinghir,1,Tinghir,province,Assoul,0.429,Mançoura,0.75,Taounate,62.58111031002163
500,Machouar,Al Haouz,Al Haouz,1,Al Haouz,province,Aghouatim,0.588,Mançoura,0.75,Taounate,62.65320836337419
501,Maayach,Tinghir,Tinghir,1,Tinghir,province,Imilchil,0.4,Ayacha,0.769,Larache,62.725306416726745
502,M/bouchta,Taounate,Taounate,1,Taounate,province,Bni Bouchibet,0.636,Moulay Bouchta,0.783,Moulay Yacoub,62.79740447007931
503,"M,Bouchta M,Bouchta",Taounate,Taounate,1,Taounate,province,Bouhouda,0.519,Bouabout,0.593,Chichaoua,62.86950252343187
504,"M, Bakay",Sefrou,Sefrou,1,Sefrou,province,Matmata,0.4,M'Haya,0.571,Moulay Yacoub,62.94160057678442
505,M'sasa,Taounate,Taounate,1,Taounate,province,Messassa,0.714,M'Saada,0.769,Sidi Slimane,63.013698630136986
506,M'Sasa,Taounate,Taounate,1,Taounate,province,Messassa,0.714,M'Saada,0.769,Sidi Slimane,63.08579668348955
507,Menara,Azilal,Azilal,1,Azilal,province,Demnate,0.462,Mnasra,0.833,Kénitra,63.1578947368421
508,Mellala,Settat,Settat,1,Settat,province,Mniaa,0.5,Mellila,0.857,Benslimane,63.229992790194665
509,Mellaha,Tétouan,Tétouan,1,Tétouan,province,Mallalienne,0.444,Melaab,0.769,Errachidia,63.30209084354723
510,Mellaha,Settat,Settat,1,Settat,province,Lahouaza,0.533,Melaab,0.769,Errachidia,63.37418889689978
511,Meghrawa,Taza,Taza,1,Taza,province,Maghraoua,0.706,Maghraoua,0.706,Taza,63.44628695025234
512,Meghater,Larache,Larache,1,Larache,province,Sidi Mohamed Lahmar,0.37,Ghmate,0.714,Al Haouz,63.518385003604905
513,Medina,Essaouira,Essaouira,1,Essaouira,province,Tafedna,0.615,Médiouna,0.857,Nouaceur,63.59048305695746
514,Mdiq Fnideq,M'diq-Fnideq,M'diq-Fnideq,1,M'diq-Fnideq,province,Fnideq,0.706,Fnideq,0.706,M'diq-Fnideq,63.66258111031002
515,Mbarek lbkay,Sefrou,Sefrou,1,Sefrou,province,Dar El Hamra,0.417,Majmaa Tolba,0.25,Khemisset,63.73467916366258
516,Mbarek bakay,Sefrou,Sefrou,1,Sefrou,province,Mtarnagha,0.476,Al Barkanyene,0.48,Berkane,63.80677721701514
