rang,Commune,Province,n_cas,suggestion_meme_province,score_meme_province,suggestion_globale,score_globale,province_suggestion_globale,cumsum_pct,DECISION_HUMAINE
195,Lahmadna,El Kelâa des Sraghna,4,Hiadna,0.714,Lahsasna,0.75,Berrechid,56.56712090461003,
196,Alqods,Agadir-Ida Ou Tanane,4,Aqesri,0.5,Al Oued,0.615,Chefchaouen,56.68309654972456,
197,ait h ousaid,Tinghir,4,Aït Hani,0.7,Ait Said,0.8,Essaouira,56.799072194839084,
198,boukerra,Ouezzane,4,Bou Jedyane,0.526,Boukraa,0.8,Laâyoune,56.91504783995361,
199,ait abdoune,Tinghir,4,Ait Youl,0.632,Ait Yadine,0.762,Khemisset,57.03102348506813,
200,Ait h said,Tinghir,4,Aït Hani,0.778,Ait Said,0.889,Essaouira,57.146999130182664,
201,Hcia,Tinghir,4,M'Ssici,0.364,Zghira,0.6,Ouezzane,57.26297477529719,
202,Alouahda,Taza,4,Oulad Zbair,0.526,Lounasda,0.75,El Kelâa des Sraghna,57.37895042041171,
203,M.I.B.D,Azilal,4,Moulay Aissa Ben Driss,0.276,Mibladen,0.533,Midelt,57.494926065526236,
204,Boutghrah,Tinghir,4,Outerbat,0.588,Boughriba,0.778,Berkane,57.61090171064077,
205,Ouled Mbarek,Fquih Ben Salah,4,Oulad Zmam,0.636,Oulad M'Barek,0.88,Béni Mellal,57.72687735575529,
206,Ihchach,Agadir-Ida Ou Tanane,3,Ait Aissi Ihahane,0.333,Tichla,0.615,Aousserd,57.81385908959118,
207,Iknioune,Ouarzazate,3,Toundoute,0.471,Ikniouen,0.875,Tinghir,57.90084082342708,
208,Hdr,Guercif,3,Debdou,0.222,Lahdar,0.667,Youssoufia,57.98782255726297,
209,Hay mohamadi,Agadir-Ida Ou Tanane,3,Agadir,0.444,Mohammédia,0.636,Mohammedia,58.07480429109887,
210,"A,chefkaoui",Al Haouz,3,Askaouen,0.526,Dar Chaoui,0.667,Tanger-Assilah,58.16178602493476,
211,A. taourirt,Al Hoceïma,3,Arbaa Taourirt,0.8,Taourirt,0.842,Taourirt,58.24876775877066,
212,Bit goulem,Taza,3,Bni Lent,0.556,Sebt Gzoula,0.667,Safi,58.33574949260655,
213,15éme GARE,Taza,3,El Gouzate,0.5,M'Garto,0.588,Khouribga,58.422731226442444,
214,Mesmoda,Ouezzane,3,Masmouda,0.8,Masmouda,0.8,Ouezzane,58.50971296027834,
215,Medina,Al Haouz,3,Oukaimeden,0.5,Médiouna,0.857,Nouaceur,58.596694694114234,
216,Mansoura,Chefchaouen,3,Bni Mansour,0.737,Mançoura,0.875,Taounate,58.68367642795013,
217,"M,Bouchta",Taounate,3,Bouhouda,0.588,Bouchfaa,0.706,Taza,58.770658161786024,
